movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,audience_count,review_content,cleaned_content,keywords,combined_keywords
The Lake House,"A lonely doctor (Sandra Bullock), who once lived in a beautiful lakeside home, falls in love via letters with its latest resident, a frustrated architect (Keanu Reeves). When they discover that they are living two years apart, the pair must unravel the mystery behind their incredible romance.","The plot of The Lake House is a little too convoluted, and the film fails to pull off the sweeping romance it aims for.",PG,"Drama, Romance",Alejandro Agresti,David Auburn,"Keanu Reeves, Sandra Bullock, Shohreh Aghdashloo, Dylan Walsh, Christopher Plummer, Willeke van Ammelrooy, Ebon Moss-Bachrach, Lynn Collins, India Neilan, Mike Bacarella, Scott Elias, Lori Ann Gerdisch, Michael Andrew Gorman, Cynthia Kaye McWilliams, Kevin Brennan, Frank Caeti, Jennifer Kern, Nora Newbrough, Mia Park, Peggy Roeder, Jason Wells, Jacqueline Williams, Jason Abustan, Nathan Adloff, Aliyah Carr, Jennifer Clark, Patricia E. Harrington, Joy Kocay, Ernie Lang, Alexandra LoRusso, Marissa Newton, January Scarpino, Andrea N. Winters",429951.0,"A few anomalies could be forgiven, but such obtuseness in putatively sharp cookies, no way. Particularly when the climax wobbles off into the corner of the time/space continuum known as ""what the heck was that?"".",a few anomalies could be forgiven but such obtuseness in putatively sharp cookies no way particularly when the climax wobbles off into the corner of the time space continuum known as what the heck was that ,putatively sharp cookies time space continuum known way particularly climax,"putatively sharp cookies time space continuum known way particularly climax Drama, Romance"
Landline,"Two sisters come of age in '90s New York when they discover their dad's affair. Eventually, they learn he's not the only cheater in the family.",Landline's talented cast -- and a fast-paced approach from director/co-writer Gillian Robespierre -- help this charming multi-generational dramedy overcome a familiar storyline.,R,Comedy,Gillian Robespierre,"Elisabeth Holm, Gillian Robespierre","Jenny Slate, Edie Falco, John Turturro, Abby Quinn, Jay Duplass, Finn Wittrock, Amy Carlson",2982.0,"1995 was such a good time for independent filmmaking. Gentle, wise comedies like ""Landline"" were found much more easily in theaters than they are now. You can almost imagine seeing the Miramax logo on screen before ""Landline.""",1995 was such a good time for independent filmmaking gentle wise comedies like landline were found much more easily in theaters than they are now you can almost imagine seeing the miramax logo on screen before landline ,good time independent filmmaking gentle wise comedies like imagine seeing,good time independent filmmaking gentle wise comedies like imagine seeing Comedy
Let the Bullets Fly,"A hoodlum (Chow Yun-Fat) feels threatened by his town's new governor (Wen Jiang), who is really a bandit in disguise.",,NR,"Action & Adventure, Comedy",Jiang Wen,"Jiang Wen, Li Bukong, Guo Junli, Wei Xiaon, Shu Ping, Zhu Sujin","Yun-Fat Chow, Jiang Wen, You Ge, Carina Lau, Jun Hu, Yun Zhou, Kun Chen, Yao Lu, Jiang Wu, Bing Bai, Li Ming Hu, Shao Bing, Liao Fan, John Do, Li Jing, Zhang Mo, Wei Xiao, Xiaogang Feng, Miao Pu",4469.0,"Overwritten script, ugly visuals, queasy rape humour, feeble special effects and all-round incoherence.",overwritten script ugly visuals queasy rape humour feeble special effects and all round incoherence ,overwritten script ugly visuals queasy rape humour feeble special effects,"overwritten script ugly visuals queasy rape humour feeble special effects Action & Adventure, Comedy"
"Life, Animated","""The Little Mermaid,"" ""The Lion King"" and other animated Disney movies help a young autistic man to develop reading, writing and communication skills.","Life, Animated offers a heartwarming look at one family's journey, and a fascinating message that's more than enough to outweigh its unanswered questions.",PG,Documentary,Roger Ross Williams,,"Owen Suskind, Ron Suskind, Jonathan Freeman, Gilbert Gottfried",3785.0,"Unfortunately, Roger Ross Williams's documentary about Owen and his family underuses the inherent dramatic potential of the story. Life, Animated, while not short on feeling, lacks confidence.",unfortunately roger ross williams s documentary about owen and his family underuses the inherent dramatic potential of the story life animated while not short on feeling lacks confidence ,unfortunately roger ross williams story life animated lacks dramatic potential,unfortunately roger ross williams story life animated lacks dramatic potential Documentary
Like Crazy,"While attending college in Los Angeles, Jacob (Anton Yelchin), an American, and Anna (Felicity Jones), who hails from London, fall madly in love. However, the young lovers are forced apart when Anna violates the terms of her visa and must return to England. Jacob and Anna discover the difficulties of maintaining a long-distance relationship in the face of their changing lives. Yet, no matter how often circumstances pull them apart, they always find themselves back together again.","It has the schmaltzy trappings of my romantic films, but Like Crazy allows its characters to express themselves beyond dialogue, crafting a true, intimate study.",PG-13,"Drama, Romance",Drake Doremus,"Drake Doremus, Ben York Jones","Anton Yelchin, Felicity Jones, Jennifer Lawrence, Charlie Bewley, Alex Kingston, Oliver Muirhead, Finola Hughes, Chris Messina, Ben York Jones, Jamie Thomas King, Amanda Carlin, Barry Sabath, Keeley Hazell, Kayla Barr, James Messer, Natalie Blair, Robert Pike Daniel, Jimmy Tamborello, Meredith Landman, David Foster, David Forster, Iris Taylor Cameron, Michael Lovett, Manal El Masri, Stephen Young, Callie Beckmann, Michael Hyatt, Julian Stone, Eric Satterberg, John Weselcouch, Michael Reilly, David Cuddy, Katie Wallack, Julia Montague, Jason King, Jo Victoria Russell, Vickie Moss, Dermot Canavan",19438.0,"Beautifully romantic, frustratingly imperfect ... What we observe is words shared, looks exchanged and hearts melding, unaware of what it will take to keep them feeling whole.",beautifully romantic frustratingly imperfect what we observe is words shared looks exchanged and hearts melding unaware of what it will take to keep them feeling whole ,beautifully romantic frustratingly imperfect words shared looks exchanged melding unaware,"beautifully romantic frustratingly imperfect words shared looks exchanged melding unaware Drama, Romance"
Little Children,"Sarah (Kate Winslet) is a well-educated woman who cannot come to terms with her life as a housewife and mother. Brad (Patrick Wilson), a stay-at-home dad, is married to a beautiful filmmaker (Jennifer Connelly) and goes skateboarding instead of studying for the bar exam. The pair meet at a playground and soon begin having secret trysts while their children nap and their spouses are at work.",Little Children takes a penetrating look at suburbia and its flawed individuals with an unflinching yet humane eye.,R,"Comedy, Drama",Todd Field,"Todd Field, Tom Perrotta","Kate Winslet, Patrick Wilson, Jennifer Connelly, Jackie Earle Haley, Gregg Edelman, Noah Emmerich, Phyllis Somerville, Sadie Goldstein, Ty Simpkins, Catherine Wolf, Helen Carey, Mary B. McCann, Trini Alvarado, Marsha Dietlein, Raymond J. Barry, Erica Berg, Jane Adams, Chadwick Brown, Sarah Buxton, Anna Audia, Alida P. Field, Mary Goggin, Thomas Greaney, Phil McGlaston, Celestial Hakim, Bruce Kirkpatrick, Corey Ireland, Chance Kelly, Adam Mucci, Cheryl Patrick, Rebecca Schull, Tom Perrotta, Crystal Field, Mark A. Pierce, Lola Pashalinski, Hunter Reid, David Cole, Walker Ryan, Lisa Sample, Weston Elrod, Adam Sietz, Leo Trombetta, Christopher Nicholas Smith, Leon Vitali, Carolyn Erika Walter, Stan Carp, Sandra Berrios, Ivar Brogger, Myra Turley, Paul Mott, Margaret Pace, Beatrice Rigaud, Jillian Lindig, William Harvey, Casper Andreas, Matt Garifo, Brooke Fazio, Monica Dobson, Ken Tirado, Carlie LaPorta, Joe C. Guest, Bruce Gross, Patrick Larkin, Michael Diesel, Conrad Angel Corral, Darrell E. Geer, Gil Ira Hayes, Marshall Lefcourt, Jennifer Rainville, Gary Anthony Ramsay, Patricia A. Gangemi, Cynthia L. Wiese, Loren Wiese, Clare F. Mithcell, John Begley, Travis Koestler, Daniel Falla, Luis Tolentilo, Tugman Tookmanlian, Thomas Newman",95485.0,"Every character except the kids is severely flawed, but so deep are the roots Perrotta has created that you wish everyone well -- even the sex offender.Little Children includes all the clichéd scenarios of a midday TV sudser, but they're ratcheted up several seedy degrees.",every character except the kids is severely flawed but so deep are the roots perrotta has created that you wish everyone well even the sex offender little children includes all the clichéd scenarios of a midday tv sudser but they re ratcheted up several seedy degrees ,severely flawed roots perrotta midday tv sudser degrees scenarios,"severely flawed roots perrotta midday tv sudser degrees scenarios Comedy, Drama"
Lizzie,"In 1892 Lizzie Borden lives a quiet life in Massachusetts under the strict rules established by her father. Lizzie finds a kindred spirit in the live-in maid, Bridget, and friendship soon blossoms into a secret romance. But tension mounts in the Borden household, leading to a violent breaking point.",Lizzie forces audiences to take a new look at a widely known true-crime story -- even if the well-acted end result is never quite as gripping as it could be.,R,Drama,Craig William Macneill,Bryce Kass,"Chloë Sevigny, Kristen Stewart, Jamey Sheridan, Fiona Shaw, Kim Dickens, Denis O'Hare, Jeff Perry, Tara Ochs, Jay Huguley, Darin Cooper, Jeremy Sykes, Jody Matzer, Ivylyn Nickel, Tom Thon, Zachary Kyle Musten, Ashton Tatum, Elgin Lee, Daniel Wachsmann, Scott R. Phillips, Katharine Harrington",497.0,"When the time comes for the famous axe and whacks, Lizzie reveals itself as more Greek tragedy than murder mystery - a depiction of feminine ferocity and ingenuity in the face of injustice.",when the time comes for the famous axe and whacks lizzie reveals itself as more greek tragedy than murder mystery a depiction of feminine ferocity and ingenuity in the face of injustice ,time comes whacks lizzie reveals famous axe greek tragedy ferocity,time comes whacks lizzie reveals famous axe greek tragedy ferocity Drama
Lone Survivor,"In 2005 Afghanistan, Navy SEALs Marcus Luttrell (Mark Wahlberg), Michael Murphy (Taylor Kitsch), Danny Dietz (Emile Hirsch) and Matthew ""Axe"" Axelson (Ben Foster) deploy on a mission of surveillance and to take out Taliban leader Ahmad Shah. Though spotted by goatherds, Luttrell and his team decide not to kill them. But one of the Afghans alerts a group of Taliban fighters to the invaders, and a terrible battle ensues, in which the SEALs find themselves hopelessly outnumbered and outgunned.","A true account of military courage and survival, Lone Survivor wields enough visceral power to mitigate its heavy-handed jingoism.",R,"Action & Adventure, Drama",Peter Berg,Peter Berg,"Ben Foster, Mark Wahlberg, Emile Hirsch, Taylor Kitsch, Eric Bana, Alexander Ludwig, Ali Suliman, Yusef Azami, Rich Ting, Dan Bilzerian, Jerry Ferrara, Rick Vargas, Scott Elrod, Gregory Rockwood, Ryan Kay, Patrick Griffin, Josh Berry, Eric Steinig, David Shepard, Justin Tade, Sterling Jones, Jason Riggins, Matthew Page, Sammy Sheik, Nicholas Patel, Danny Arroyo, Zarin Rahimi, Rohan Chand, Anthony McKenzie, Brian Call, Ishmael Antonio, Samuel J. Cloud, Peter Bici, Henry Penzi, Robert Loerke, Kurt Carlson, Daniel Fulcoly, Michael Herrmann, Paul Craig Jennings, Zabiullah Mirzai, John Hocker, Robert Doudell, Edmund Blanchet, Jim Cusic, Yousuf Azami",113274.0,"A slam-bang action film that's plenty realistic, with a full two-thirds devoted to the battle for survival that ensues when a mission to capture or kill a top Taliban leader goes about as wrong as any mission can go.",a slam bang action film that s plenty realistic with a full two thirds devoted to the battle for survival that ensues when a mission to capture or kill a top taliban leader goes about as wrong as any mission can go ,slam bang action film plenty realistic thirds devoted leader goes,"slam bang action film plenty realistic thirds devoted leader goes Action & Adventure, Drama"
Long Shot,"Fred Flarsky is a gifted and free-spirited journalist who has a knack for getting into trouble. Charlotte Field is one of the most influential women in the world -- a smart, sophisticated and accomplished politician. When Fred unexpectedly runs into Charlotte, he soon realizes that she was his former baby sitter and childhood crush. When Charlotte decides to make a run for the presidency, she impulsively hires Fred as her speechwriter -- much to the dismay of her trusted advisers.","A sharp and deceptively layered comedy that's further fueled by the odd couple chemistry of its leads, this Long Shot largely hits its marks.",R,Comedy,Jonathan Levine,"Dan Sterling, Liz Hannah","Charlize Theron, Seth Rogen, O'Shea Jackson, Jr., Andy Serkis, June Diane Raphael, Bob Odenkirk, Alexander Skarsgård",4897.0,"Seth Rogen and Charlize Theron deliver in this smart, funny romantic comedy that adults will definitely enjoy. [Full review in Spanish]",seth rogen and charlize theron deliver in this smart funny romantic comedy that adults will definitely enjoy full review in spanish ,seth rogen definitely enjoy charlize theron deliver funny romantic comedy,seth rogen definitely enjoy charlize theron deliver funny romantic comedy Comedy
The Matrix Reloaded,"Freedom fighters Neo (Keanu Reeves), Trinity (Carrie-Anne Moss) and Morpheus (Laurence Fishburne) continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation. In their quest to save the human race from extinction, they gain greater insight into the construct of The Matrix and Neo's pivotal role in the fate of mankind.","Though its heady themes are a departure from its predecessor, The Matrix Reloaded is a worthy sequel packed with popcorn-friendly thrills.",R,"Mystery & Suspense, Science Fiction & Fantasy","Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Monica Bellucci, Gloria Foster, Jada Pinkett Smith, Harold Perrineau, Harry Lennix, Lambert Wilson, Randall Duk Kim, Nona Gaye, Anthony Zerbe, Helmut Bakaitis, Neil Rayment, Adrian Rayment, Daniel Bernhardt, Anthony Wong, Lachy Hulme, Christine Anu, Terrell Dixon, David A. Kilde, Matt McColm, Robyn Nevin, Collin Chou, Cornel West, Alima Ashton-Sheibu, Joshua Mbakwe, Monique Montez, Che Timmins, Rupert Reid, Steve Bastoni, Don Batte, Valerie Berry, Ian Bliss, Michael Budd, Donald Battee, Josephine Byrnes, Rene Naufahu, Socratis Otto, Kelly Butler, Paul Cotter, Essie Davis, David Franklin, Tory Mussett, Roy Jones Jr., Malcom Kennard, Christopher Kirby, Peter Lamb, Robert Mammone, Genevieve O'Reilly, Nathaniel Lees, David No, David Roberts, Shane C. Rodrigo, Tahei Simpson, Frankie Stevens, Gina Torres, Steve Vella, Clayton Watson, Leigh Whannell, Attila Davidhazy, Christine Mitchell, Austin Galuppo, Nicandro Thomas, Daryl Heath, Nick Scoggin, Kevin C. Scott, Stoney Burke, Noris Campos, Liliana Bogatko, Montaño Rain, Marlene Cummins, Andrew Valli, Andy Arness, John Walton, Kevin Scott, Steve Morris, Scott McLean, Nash Edgerton, Chris Mitchell, Ray Anthony, Tony Lynch, Tammy Cheney, Michael E. Cole, Brandon Freeman, Yukie Fujimoto, Jenifer Golden, Chae Hill, Maurya Kerr, Silfredo Lao Vigo, Monique Strauss, Damon White",942742.0,"Your brain will likely feel sucker-punched by the end of this obtuse ****storm, which falls flat faster than you can say Attack of the Clones.",your brain will likely feel sucker punched by the end of this obtuse storm which falls flat faster than you can say attack of the clones ,likely feel sucker punched falls flat faster say attack obtuse,"likely feel sucker punched falls flat faster say attack obtuse Mystery & Suspense, Science Fiction & Fantasy"
Memoirs of a Geisha,"In the 1920s, 9-year-old Chiyo (Suzuka Ohgo) gets sold to a geisha house. There, she is forced into servitude, receiving nothing in return until the house's ruling hierarchy determines if she is of high enough quality to service the clientele -- men who visit and pay for conversation, dance and song. After rigorous years of training, Chiyo becomes Sayuri (Ziyi Zhang), a geisha of incredible beauty and influence. Life is good for Sayuri, but World War II is about to disrupt the peace.","Less nuanced than its source material, Memoirs of a Geisha may be a lavish production, but it still carries the simplistic air of a soap opera.",PG-13,"Drama, Romance",Rob Marshall,Robin Swicord,"Ziyi Zhang, Ken Watanabe, Michelle Yeoh, Li Gong, Koji Yakusho, Youki Kudoh, Kaori Momoi, Tsai Chin, Cary-Hiroyuki Tagawa, Randall Duk Kim, Mako, Kenneth Tsang, Thomas Ikeda, Zoe Weizenbaum, Shizuko Hoshi, Suzuka Ohgo, Togo Igawa, Samantha Futerman, Elizabeth Sung, David Okihiro, Miyako Tachibana, Kotoko Kawamura, Karl Yune, Eugenia Yuan, Yôko Narahashi, Navia Nguyen, Natsuo Tomita, Fumi Akutagawa, Koji Toyoda, Nobu Matsuhisa, Steve Terada",464869.0,"... the movie is a well-meaning, vaporous bore, enlivened only by occasional traces of Showgirls-style camp and plasticine tears trickling down impeccably powdered cheeks.", the movie is a well meaning vaporous bore enlivened only by occasional traces of showgirls style camp and plasticine tears trickling down impeccably powdered cheeks ,meaning vaporous bore enlivened plasticine tears trickling powdered style camp,"meaning vaporous bore enlivened plasticine tears trickling powdered style camp Drama, Romance"
Movie 43,"Twelve directors, including Peter Farrelly, Griffin Dunne and Brett Ratner, contributed to this collection of outrageous spoofs and stories. A seemingly perfect man has an unusual blemish on his neck in ""The Catch."" Superheroes attend a speed-dating event in ""Robin's Big Speed Date."" Two people on a blind date try to break the ice by playing ""Truth or Dare."" Other stories include ""iBabe,"" ""The Proposition,"" ""Beezel"" and ""Victory's Glory.""","A star-studded turkey, Movie 43 is loaded with gleefully offensive and often scatological gags, but it's largely bereft of laughs.",R,Comedy,"Peter Farrelly, Jonathan van Tulleken, Steve Carr, Steven Brill, Elizabeth Banks, James Gunn (II), Brett Ratner, Griffin Dunne, Rusty Cundieff, James Duffy, Will Graham, Patrik Forsberg","Will Graham, Claes Kjellström, Bill O'Malley, Jonas Wittenmark, Matthew Portenoy, Rocky Russo, Jack Kukoda, Tobias Carlson, Jonathan van Tulleken, James Gunn (II), Greg Pritikin, Olle Sarri, Elizabeth Wright Shapiro, Jacob Fleisher, Jeremy Sosenko, Will Carlough, Patrik Forsberg","Johnny Knoxville, Gerard Butler, Anna Faris, Seann William Scott, Hugh Jackman, Richard Gere, Uma Thurman, Halle Berry, Emma Stone, Naomi Watts, Kate Bosworth, Kate Winslet, Terrence Howard, Liev Schreiber, Elizabeth Banks, Justin Long, Kristen Bell, Josh Duhamel, Jason Sudeikis, Chloë Grace Moretz, Stephen Merchant, Christopher Mintz-Plasse, Kieran Culkin, Chris Pratt, Leslie Bibb, Bobby Cannavale, John Hodgman, Nicole ""Snooki"" Polizzi, Jack McBrayer, Aasif Mandvi, Patrick Warburton, Jimmy Bennett, Larry Sanders, Jared Dudley, Corey Brewer",35680.0,Neither the Kentucky-fried turkey its unceremonious release suggests nor the kind of daring film maudit that seems destined to be reassessed decades hence.,neither the kentucky fried turkey its unceremonious release suggests nor the kind of daring film maudit that seems destined to be reassessed decades hence ,kentucky fried turkey daring film maudit release suggests reassessed decades,kentucky fried turkey daring film maudit release suggests reassessed decades Comedy
Mr. Nanny,"Former wrestler Sean Armstrong (Terry ""Hulk"" Hogan) takes a job as bodyguard and nanny to Alex Jr. (Robert Gorman) and Kate (Madeline Zima), the children of Alex Mason (Austin Pendleton). The kids receive little attention from their father and take out their energy in pranks on their baby sitters. Despite their initial hostility, Sean and the children soon bond. When criminal Tommy Thanatos (David Johansen) kidnaps the kids to get his hands on a new computer chip, Sean must rescue them.",,PG,"Action & Adventure, Comedy, Kids & Family",Michael Gottlieb,"Edward N. Rugoff, Michael Gottlieb","Hulk Hogan, Sherman Hemsley, Austin Pendleton, Robert Hy Gorman, Madeline Zima, Mother Love, Fern Champion, David Johansen, Brutus Beefcake, Raymond O'Connor, Peter Kent, Marc Mercury, Kelly Erin-Welton, Dondi Dahlin, Artie Malesci, Mark Mercury, Sandy Mielke, Jeff Moldovan, Fred Ornstein, Darci Osiecky, Jen Sung Outerbridge, Hope Pomerance, Tim A. Powell, Joshua Santiago, Danny Fotou, David Mandel, Dennis Deveaugh, Joe Hess, John F. Hoye, James Coffey, Arthur Anoai, George Steele",40879.0,It's too back that wrestling icon Hulk Hogan didn't know how to apply a choke hold to this lethargic and lightweight romp. An unintentional and embarrassing misstep,it s too back that wrestling icon hulk hogan didn t know how to apply a choke hold to this lethargic and lightweight romp an unintentional and embarrassing misstep,wrestling icon hulk hogan lightweight romp choke hold misstep,"wrestling icon hulk hogan lightweight romp choke hold misstep Action & Adventure, Comedy, Kids & Family"
Mr. Popper's Penguins,"Mr. Popper (Jim Carrey) is a successful real estate developer in Manhattan. He lives in a posh apartment on Park Avenue, and is on the fast track to a partnership in a prestigious company. However, his life changes radically when he receives a final gift from his late father -- a live penguin, which is soon joined by five more penguins. The birds' antics soon win over Mr. Popper, and as he bonds with the penguins, his chilly relationship with his ex-wife (Carla Gugino) and kids begins to thaw.","Blandly inoffensive and thoroughly predictable, Mr. Popper's Penguins could have been worse -- but it should have been better.",PG,"Comedy, Kids & Family",Mark Waters (VIII),"John Morris, Jared Stern, Sean Anders","Jim Carrey, Carla Gugino, Angela Lansbury, Ophelia Lovibond, Madeline Carroll, Maxwell Perry Cotton, Clark Gregg, Jeffrey Tambor, David Krumholtz, Philip Baker Hall, James Tupper, Dominic Chianese, William C. Mitchell, Henry Keleman, Dylan Clark Marshall, Kelli Barrett, Brian T. Delaney, Elaine Kussack, Harlin C. Kearsley, Desmin Borges, Lee Anne Moore, Dominic Colón, Jeff Lima, Frank Cornei, J.R. Horne, Matthew Wolf, Andrew Stewart Jones, James Chen, Rafael Osorio, Curtis Shumaker, Joseph D'Onofrio, Olga Merediz, Betsy Aidem, Angel L. Cabán, Chris Beetem, Charles L. Campbell, Daniel Stewart Sherman, Mike Massimino, Charlie Semine",68355.0,"In spite of his adorable CG fish-eating accessories, Popper is just another lazy, family-friendly stock patriarch in a long line of clueless but basically well-meaning fathers that Carrey has played over the years.",in spite of his adorable cg fish eating accessories popper is just another lazy family friendly stock patriarch in a long line of clueless but basically well meaning fathers that carrey has played over the years ,adorable cg fish eating accessories popper long line friendly stock,"adorable cg fish eating accessories popper long line friendly stock Comedy, Kids & Family"
Night at the Museum 2: Battle of the Smithsonian,"Once the night guard at the Museum of Natural History, Larry Daley (Ben Stiller) is now a successful purveyor of infomercial products. Soon after learning that his museum friends have been shipped to the Smithsonian Institution, Larry receives a distress call from Jedediah, who warns him that four of history's greatest villains have come to life and are planning to take over the Smithsonian first, then the world. Larry joins forces with friends old and new to stop the quartet's nefarious plans.",Night at the Museum: Battle at the Smithsonian is busy enough to keep the kids interested but the slapstick goes overboard and the special effects (however well executed) throw the production into mania.,PG,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy",Shawn Levy,"Robert Ben Garant, Thomas Lennon, Scott Frank","Ben Stiller, Amy Adams, Jonah Hill, Robin Williams, Ricky Gervais, Owen Wilson, Bill Hader, Christopher Guest, Jon Bernthal, Alain Chabat, Patrick Gallagher, Rami Malek, Thomas Morley, Steve Coogan, Mindy Kaling, Keith Powell, Craig Robinson, Jake Cherry, Mizuo Peck, Jay Baruchel, Kerry Van Der Griend, Matthew Harrison, Rick Dobran, Randy Lee, Darryl Quon, Gerald Wong, Paul Chih-Ping Cheng, Augustus Oicle, Kai James, Clint Howard, Matty Finochio, George Foreman, Josh Byer, Sophie Levy, Tess Levy, Alberta Mayne, Christina Schild, Robert Thurston, Samuel Patrick Chu, Clifton Murray, Carroll Spinney, Dan Joffre, Dave Hospes, Regina Taufen, Shawn Levy, Hank Azaria, John Schwartzman, Alan Silvestri, Michael Barnathan, Robert Ben Garant, Chris Columbus, Thomas Lennon, Kevin Jonas, Thomas M. Hammel, Joe Jonas, Nick Jonas, Josh McLaglen, Eugene Levy, Mark Radcliffe, Brad Garrett, Ellen Somers",508982.0,"Ben Stiller's comic setpiece interludes provide the best laughs - his encounter with a goofy, officious security guard called Brandon is particularly good.",ben stiller s comic setpiece interludes provide the best laughs his encounter with a goofy officious security guard called brandon is particularly good ,ben stiller comic setpiece interludes provide officious security guard called,"ben stiller comic setpiece interludes provide officious security guard called Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy"
Oblivion,"In the year 2077, Jack Harper (Tom Cruise) works as a security repairman on an Earth left empty and devastated after a war with aliens. Jack has two weeks left before his mission ends and he joins his fellow survivors on a faraway colony. However, Jack's concept of reality comes crashing down after he rescues a beautiful stranger (Olga Kurylenko) from a downed spacecraft. The woman's arrival triggers a chain of events that culminates in Jack's nearly single-handed battle to save mankind.","Visually striking but thinly scripted, Oblivion benefits greatly from its strong production values and an excellent performance from Tom Cruise.",PG-13,"Action & Adventure, Science Fiction & Fantasy",Joseph Kosinski,"Karl Gajdusek, Joseph Kosinski, Michael DeBruyn","Tom Cruise, Olga Kurylenko, Morgan Freeman, Andrea Riseborough, Nikolaj Coster-Waldau, Melissa Leo, Zoe Bell",163366.0,"You start wondering whether director Joseph Kosinski and screenwriters Karl Gajdusek and Michael DeBruyn have any original ideas of their own. And then you realize they don't.An admirable failure; an overlong, awkwardly paced mishmash of cool but familiar ideas and all-too predictable plot-twists.",you start wondering whether director joseph kosinski and screenwriters karl gajdusek and michael debruyn have any original ideas of their own and then you realize they don t an admirable failure an overlong awkwardly paced mishmash of cool but familiar ideas and all too predictable plot twists ,start wondering plot original ideas awkwardly paced michael debruyn joseph,"start wondering plot original ideas awkwardly paced michael debruyn joseph Action & Adventure, Science Fiction & Fantasy"
Olympus Has Fallen,"The unthinkable happens when heavily armed and highly trained terrorists launch a bold daytime attack on the White House. The building is overrun, and President Benjamin Asher (Aaron Eckhart) and his staff are taken hostage. Luckily for Asher, former presidential security officer Mike Banning (Gerard Butler) is on the scene. With time running out, it's up to Banning to locate Asher's son before the extremists do and rescue the president before his captors unleash their ultimate plan.","It's far from original, but Olympus Has Fallen benefits from Antoine Fuqua's tense direction and a strong performance from Gerard Butler -- which might just be enough for action junkies.",R,"Action & Adventure, Drama",Antoine Fuqua,"Creighton Rothenberger, Katrin Benedikt","Gerard Butler, Rick Yune, Aaron Eckhart, Morgan Freeman, Angela Bassett, Melissa Leo, Ashley Judd, Dylan McDermott, Radha Mitchell, Robert Forster, Cole Hauser, Phil Austin",148655.0,"It's all very busy but not especially exciting, and it does little to transcend what was doubtless its pitched tag as Die Hard Meets Air Force One.Olympus has fallen -- flat.",it s all very busy but not especially exciting and it does little to transcend what was doubtless its pitched tag as die hard meets air force one olympus has fallen flat ,especially exciting pitched tag flat die hard meets air,"especially exciting pitched tag flat die hard meets air Action & Adventure, Drama"
Onward,"Teenage elf brothers Ian and Barley embark on a magical quest to spend one more day with their late father. Like any good adventure, their journey is filled with cryptic maps, impossible obstacles and unimaginable discoveries. But when dear Mom finds out her sons are missing, she teams up with the legendary manticore to bring her beloved boys back home.","It may suffer in comparison to Pixar's classics, but Onward makes effective use of the studio's formula -- and stands on its own merits as a funny, heartwarming, dazzlingly animated adventure.",PG,"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy",Dan Scanlon,"Keith Bunin, Jason Headley, Dan Scanlon","Tom Holland (II), Chris Pratt, Octavia Spencer, Julia Louis-Dreyfus, John Ratzenberger, Mel Rodriguez, Lena Waithe, Ali Wong, Grey Griffin, Tracey Ullman, George Psarras",8609.0,"The voice work by Pratt, Holland, and Louis-Dreyfus is fantastic. Octavia Spencer steals every scene she's in...",the voice work by pratt holland and louis dreyfus is fantastic octavia spencer steals every scene she s in ,voice work pratt holland louis dreyfus fantastic octavia spencer steals,"voice work pratt holland louis dreyfus fantastic octavia spencer steals Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy"
The Other Boleyn Girl,"King Henry VIII (Eric Bana) lacks an heir. Seeing this as an opportunity for personal gain, the Duke of Norfolk (David Morrissey) and Sir Thomas Boleyn (Mark Rylance) persuade Thomas' daughter Anne (Natalie Portman) to seduce the king. But Henry falls in love with Anne's sister, Mary (Scarlett Johansson), instead. When Mary becomes pregnant, she's confined to bed, with charged with Anne keeping the king from straying -- but the plan backfires when Anne seeks the king's affections for herself.","Though it features some extravagant and entertaining moments, The Other Boleyn Girl feels more like a soap opera than historical drama.",PG-13,"Drama, Romance",Justin Chadwick,Peter Morgan,"Eric Bana, Natalie Portman, Scarlett Johansson, Jim Sturgess, Mark Rylance, David Morrissey, Benedict Cumberbatch, Ana Torrent, Oliver Coleman, Kristin Scott Thomas, Eddie Redmayne, Thom Cox, Juno Temple, Michael Smiley, Iain Mitchell, Montserrat Roig de Puig, Andrew Garfield, Corinne Galloway, Tiffany Freisberg, Mark Lewis Jones, Alfie Allen, Joseph Moore, Tiffany Friesberg, Bill Wallis, Joanna Scanlan, Brodie Judge, Oscar Negus, Maisie Smith, Daisy Doidge-Hill, Kizzy Fassett, Finton Reilly, Emma Noakes, Poppy Hurst, Constance Stride",205233.0,"As the girls' mother, Kristin Scott Thomas is basically reduced to shaking her head, sighing and wondering how things turned out so badly. Indeed.",as the girls mother kristin scott thomas is basically reduced to shaking her head sighing and wondering how things turned out so badly indeed ,girls mother kristin scott thomas head sighing basically reduced things,"girls mother kristin scott thomas head sighing basically reduced things Drama, Romance"
